region,gas,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUSTRIA,HFC152a,0.2046936156,0.2478165782,0.2486963867,0.0871465428,0.1293638969,0.13437001204,5.3782e-07,5.45512e-07,5.53314e-07,5.61227e-07,5.69254e-07,5.77395e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUSTRIA,HFC227ea,0.000309739,0.000628003,0.000105798,2.8114e-06,8.83446e-05,8.92667e-05,0.000737807,0.0006713259,4.2805e-07,0.0002858434,0.000429891,0.000432585,0.000777687,0.004127253,0.00069744746824128,0.00023487814900925,0.00022724766,0.00020400321333333,0.00018517123669735
AUSTRIA,HFC245ca,0.0045515,0.002363326,0.002309442,0.002256787,0.002205332,0.002155051,0.002105916,0.002057901,0.002010981,0.00196513,0.001920325,0.001876542,0.001833757,0.001791947,0.0025191128050667,0.0031793170657352,0.0037542802147895,0.004408391286386,0.0050381507801591
AUSTRIA,HFC4310mee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELGIUM,CO2,123821.70959197842,121607.74933107094,119347.922463495,121952.79651811776,116417.8675810789,127039.514870107,116284.66836375816,115871.68071194903,117648.20548568224,110099.65824638926,115058.65839290954,114711.62747325707,113537.30713503022,113623.30035952445,113066.28601315364,105780.14810667951,110188.57181411971,103381.49790487633,97879.0927386852
BELGIUM,CH4,469.010475766273,461.8003970040014,460.53536229773437,462.74983968850484,461.60679825375223,459.3320281642739,454.6033121563228,442.4221611365205,442.9837550228941,439.47718084954715,443.8137325720381,449.9731133710622,438.8399550890969,445.21012362522606,441.2562768303758,440.06955011648176,441.4018434752483,432.0949207638122,431.0900840920251
BELGIUM,N2O,30.417877665413076,30.271981162577838,31.35986903215392,30.957672054549025,29.305994448223338,33.45316578261069,33.36220222787865,32.87118698619826,33.016848234702444,32.511701963948596,32.40658074591006,31.588151826400466,31.529519648738496,31.582469566912458,31.596348221470382,31.508416643052836,32.02933060276935,30.00989070263456,28.9265947000993
BELGIUM,PFCs,0.01780915684,0.011359837690000001,0.01181711011,0.06025641903,0.04971674365,0.00946088519,0.01655632597,0.01254026561,0.014238151977000001,0.013026845797,0.011065549082,0.027197778997000002,0.009075147143,0.004711894984,0.006974523804405305,0.01189807145059695,0.01067964140657967,0.01266889021410616,0.014567012350673144
BELGIUM,SF6,0.0044681129,0.0038718874433846004,0.0039938122367692,0.0043518393301538,0.004589801626,0.00527595772,0.005306414214,0.0052825619262857,0.0056839884885713995,0.0046375813008571,0.0044885467969429,0.0047310106492286,0.005006386661514301,0.004580546573799999,0.0049473768646632,0.0047672946890037,0.0042829843695011,0.0041901363408376,0.00393772283289573
BELGIUM,HFC134a,0.53996110509325,0.57303087364826,0.63436441103134,0.66166382914496,0.72307968502092,0.7383125602971,0.755801187378,0.75841266278834,0.72270072761463,0.76526803931592,0.7692572009898601,0.8119602686088999,0.80294641487643,0.7195709732462,0.677315494000738,0.615740013022045,0.5706106029402215,0.5209571461715653,0.4690012341180853
